Chapter,Page,Erratum,Credit,Notes
Introduction,ii,"increaseed -> increased",Ryan Troxler,
Introduction,iii,"mathematicl -> mathematical",Luke A.,
Polynoimals,3,"there there -> there",David Furcy,
Polynomials,6,"Unindent two paragraphs starting with 'where...'",Oliver Sampson,
Polynomials,7,"Clarify where the phrase 'has the form' was used earlier in the text",Abhishek Bhatia,
Polynomials,9,"Dedupe the repeated use of 'For example'",Marco Craveiro,
Polynomials,9,Graph 2.1 seems to contradict sentence 5 of the first paragraph on page 9,Patrick Stingley,"I added an additional clause to use Figure 2.1 to demonstrate why more nuance is needed"
Polynomials,10,"In ""So let's write down some definitions of polynomials according to Definition 2.1"", ""definitions"" should be ""examples"".",Brian van den Broek,
Polynomials,13,"missing ""that"" between ""argue"" and ""you""",Oliver Sampson,
Polynomials,15,Fix reference to next section in footnote 5,Tim Wilkens,Looks like a weird tex behavior since the label reference is set up properly.
Polynoials,17,"Fix incorrect use of i.e. by replacing it with e.g.",Luke A.,
Polynomials,17,"algebra I, could -> algebra, I could",Steven D. Brown,
Polynomials,20,"Fix the indexing from zero in 'n+1' points",Arman Yessenamanov,"This prompted me to make a few other changes to the prose to explain indexing from 1 vs 0, and convert the chapter to always index from 1 for consistency. This was also pointed out by Francis Huynh in a separate manifestation of the problem."
Polynoimals,21,"it's degree -> its degree",David Furcy,
Polynomials,21,"(x_1,x_2) -> (x_1,y_1)",Arman Yessenamanov,
Polynomials,22,"Correct the statement of Theorem 2.4 to say 'degree at most n' instead of 'degree n'.",Harry Altman,Many easy examples show it need not be exactly degree n.
Polynomials,22,"Rephrase g(x) differently from 'another such polynomial'",K. Alex Mills,I used this opportunity to clean up some of the language in that proof.
Polynomials,23,"`singleTerm` -> `single_term` in copy",Dave,
Polynomials,25,"Extra 's' on 'gets'",David Furcy,"I clarified the sentence to use clearer words"
Polynomials,25,"a_{d+1} -> a_d",Abhinav Upadhyay,
Polynomials,27,"Clarify confusion around 'decoding to any possible plaintext'",Francis Huynh,
Polynomials,27,"Let y is -> Let y be",David Furcy,
Polynomials,27,"ften -> often",David Furcy,
Polynomials,27,"your knowledge ...  give -> your knowledge ... gives",David Furcy,
Polynomials,28,"add dash to 'degree 3'",David Furcy,
Polynomials,29,"Ex. 2.6, 'k real roots' should be 'n real roots'",David Wu,
Polynomials,29,"Replace the pi+e and pi*e part of the exercise with a 'lookup online' exercise.",Timo Vesalainen,"Add forward reference to vector spaces."
Polynomials,29,"coefficients are rational number -> coefficients are rational numbers",Meji Abidoye,
Polynomials,29,"contol points -> control points",Don-Duong Quach,
Polynomials,29,"product and sum ...  [are] algebraic",David Furcy,"Clarified the sentence by splitting it into two and hinting that one is much harder."
Polynomials,29,Bezier -> Bézier,Don-Duong Quach,
Polynomials,29,"Exercise 2.6: 'k real roots' -> 'n real roots'",Sriram Srinivasan,
Polynoials,32,"Unindent leading and",Oliver Sampson,
Polynomials,33,"when evaluate f(x) -> when evaluating f(x)",David Furcy,
Sets,39,"Fix the comma at the end of ""Unfortunately set theory has a lot of new terminology,""",Michaël Defferrard,
Sets,39,"extra phrase 'and the algorithm'",David Furcy,
Sets,40,"who really care -> who really cared",K. Alex Mills,
Sets,43,"compltely -> completely",David Furcy,
Sets,44,"a injection -> an injection",David Furcy,
Sets,44,"conceputal -> conceptual",David Furcy,
Sets,45,"an surjection -> a surjection",David Furcy,
Sets,46,"a \in a -> a \in A",David Furcy,
Sets,46,"an surjection -> a surjection",David Furcy,
Sets,47,"Elevate the definition of inverse to a full definition.",K. Alex Mills,
Sets,47,"an bijection -> a bijection",David Furcy,
Sets,49,"Add that f is not a surjection in the set-theoretic rephrasing of the single-elimination tournament proof",K. Alex Mills,
Sets,49,"Clarify confusion around the use of 'preimage exactly 2' in the double elimination example.",Wojciech Kryscinski,
Sets,50,"Clarify the phrase 'You could actually make the balls points inside R^2 somewhere'",David Furcy,
Sets,50,"Correct the use of balls and squares in paragraph starting 'Now we count:'",Jason Hooper,
Sets,50,"in of itself -> in and of itself",David Furcy,
Sets,52,"Has a [a] bad reputation",David Furcy,
Sets,52,"Make pronoun use consistent in double-counting induction proof",K. Alex Mills,
Sets,52,"X is a set of size (n+1 choose 2) -> (X choose 2) is a set of size (n+1 choose 2)",Arthur Allshire,
Sets,53,"prove it true -> prove is true",David Furcy,
Sets,54,"Clarify 'Realistic applications of this algorithm involves'",David Furcy,
Sets,55,"mathces -> matches",David Furcy,
Sets,55,"stable there is no pair -> stable if there is no pair",David Furcy,
Sets,57,"monotonic increasing -> monotonically increasing",K. Alex Mills,
Sets,57,"will terminates -> will terminate",David Furcy,
Sets,58,"tool of understanding -> tool for understanding",David Furcy,
Sets,59,"Improve statement of Exercise 4.6",Abhinav Upadhyay,
Sets,59,"Look of a description -> Look for a description",David Furcy,
sets,59,"Improve the clarity of Exercise 4.2 by reminding the reader of the complement notation.",Jan Moren,"I also added a joke in a footnote."
Variables,63,"apostrophe missing in 'on each others toes'",David Furcy,
Variables,64,"siphon out the window -> siphon money out the window",K. Alex Mills,
Variables,65,"add 'respectively' to clarify sentence",David Furcy,
Variables,65,"cheeily -> cheekily",David Furcy,
